	Note ESG
Computer Engineering & Consulting Ltd.	22.3
Computer Modelling Group Ltd.	19.1
Computershare Ltd.	16.9
Comture Corp.	23.5
Conduent, Inc.	21.9
Confluent, Inc.	17.9
Connectwave Co., Ltd.	28.0
Consensus Cloud Solutions, Inc.	24.2
Constellation Software, Inc.	25.9
Converge Technology Solutions Corp.	22.8
Corpay, Inc.	22.5
CoStar Group, Inc.	21.7
Couchbase, Inc.	25.2
Coursera, Inc.	19.6
Coveo Solutions, Inc.	20.2
Crayon Group Holding AS	18.1
Credo Technology Group Holding Ltd.	24.1
Cresco Ltd.	25.2
Criteo SA	16.3
CrowdStrike Holdings, Inc.	17.8
CS Disco, Inc.	23.9
CSG Systems International, Inc.	20.2
CTOS Digital Bhd.	18.9
CyberArk Software Ltd.	18.2
Cyberlink Corp.	26.8
Cybozu, Inc.	24.8
Cyient Ltd.	17.3
CYRUSONE DATA CENTERS ISSUER I LLC	16.5
Dada Nexus Ltd.	21.7
DAEA TI Co., Ltd.	25.4
Danal Co., Ltd.	27.5
Darktrace Plc	20.4
Dassault Systèmes SE	14.2
Data#3 Ltd.	19.4
Datadog, Inc.	16.1
DATAGROUP SE	25.4
Dayforce, Inc.	17.3
DBAPPSecurity Co. Ltd.	26.0
Dear U Co., Ltd.	27.5
Deliveroo Plc	22.4
Delivery Hero SE	22.9
DeNA Co., Ltd.	22.6
Dentsu Soken, Inc.	18.1
Devsisters Corp.	19.3
DHC Software Co., Ltd.	30.0
DHI Group, Inc.	25.0
Digimarc Corp.	20.6
Digital Arts Inc.	20.9
Digital China Group Co., Ltd.	26.8
Digital China Information Service Group Co. Ltd.	24.5
Digital Garage, Inc.	25.1
Digital Turbine, Inc.	20.3
DigitalOcean Holdings, Inc.	26.1
DKV MOBILITY GROUP SE	10.1
DLocal Ltd.	22.2
Docebo, Inc.	21.5
DocuSign, Inc.	17.0
Domain Holdings Australia Ltd.	17.8
Domo, Inc.	23.6
DoorDash, Inc.	23.4
DoubleUGames Co., Ltd.	24.7
DoubleVerify Holdings, Inc.	18.4
DOUZONE BIZON Co., Ltd.	26.4
Doximity, Inc.	20.9
Dropbox, Inc.	18.8
DTS Corp.	20.0
Dun & Bradstreet Holdings, Inc.	18.2
Duolingo, Inc.	23.8
DXC Technology Co.	15.3
Dye & Durham Ltd.	25.0
Dynatrace, Inc.	15.0
Dynavox Group AB	21.2
e-Finance for Digital & Financial Investments SAE	29.0
E2open Parent Holdings, Inc.	21.0
eBASE Co., Ltd.	25.3
eBay, Inc.	15.2
Ebix, Inc.	27.8
eClerx Services Ltd.	14.6
Edenred SE	15.2
eDreams ODIGEO SA	13.1
eGain Corp.	23.3
EHang Holdings Ltd.	19.4
Elastic NV	15.9
Electronic Arts, Inc.	13.0
