	Note ESG
Guangdong Dowstone Technology Co., Ltd.	35.2
Guangdong Guanghua Sci-Tech Co., Ltd.	35.0
Guangzhou Tinci Materials Technology Co., Ltd.	31.2
Gübre Fabrikalari TAS	52.4
Guizhou Chanhen Chemical Corp.	32.9
Gujarat Alkalies & Chemicals Ltd.	28.8
Gujarat Fluorochemicals Ltd.	22.8
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.	30.7
Gujarat State Fertilizers & Chemicals Ltd.	37.9
Gulf Oil Lubricants India Ltd.	29.4
Gurit Holding AG	35.1
H.B. Fuller Co.	31.9
Hangjin Technology Co., Ltd.	40.4
HANKUK CARBON Co., Ltd.	37.7
Hansol Chemical Co., Ltd.	26.9
HANWHA SOLUTIONS CORP.	20.4
Hanwha Total Energy Co., Ltd.	30.6
Haohua Chemical Science & Technology Corp. Ltd.	32.2
Hawkins, Inc.	29.7
Hektas Ticaret TAS	45.2
Hengli Petrochemical Co., Ltd.	31.9
Hengyi Petrochemical Co., Ltd.	43.8
HEXPOL AB	31.6
Hextar Global Bhd.	42.9
Himadri Speciality Chemical Ltd.	28.1
Ho Tung Chemical Corp.	24.5
Hodogaya Chemical Co., Ltd.	34.3
Hoshine Silicon Industry Co., Ltd.	33.1
Huabao Flavours & Fragrances Co., Ltd.	29.2
Huabao International Holdings Ltd.	36.4
Hubei Dinglong Co., Ltd.	44.2
Hubei Xingfa Chemicals Group Co., Ltd.	40.6
Hubei Yihua Chemical Industry Co., Ltd.	53.7
Hunan Corun New Energy Co., Ltd.	37.6
Huntsman Corp.	21.8
HWASEUNG Industries Co., Ltd.	38.5
Hyosung Chemical Corp.	26.4
HYOSUNG Corp.	27.5
ICL Group Ltd.	23.0
Imerys SA	30.4
Incitec Pivot Ltd.	24.8
Indigo Paints Ltd.	26.7
Indorama Ventures Public Co. Ltd.	20.9
Industrie De Nora SpA	22.2
Industries of Qatar Co.	39.2
INEOS Group Holdings SA	17.2
Ineos Quattro Holdings Ltd.	16.2
Ingevity Corp.	22.9
Inner Mongolia Junzheng Energy & Chemical Group Co., Ltd.	35.0
Inner Mongolia Yuan Xing Energy Co., Ltd.	37.5
Innospec, Inc.	23.9
International CSRC Investment Holdings Co. Ltd.	33.3
International Flavors & Fragrances, Inc.	23.2
Intrepid Potash, Inc.	38.6
ISHIHARA SANGYO KAISHA LTD.	38.3
Israel Corp. Ltd.	52.6
JCU Corp.	34.5
Jiangsu Eastern Shenghong Co., Ltd.	34.9
Jiangsu Lopal Tech. Co., Ltd.	35.0
Jiangsu Pacific Quartz Co., Ltd.	35.1
Jiangsu Yangnong Chemical Co., Ltd.	40.6
Jiangsu Yoke Technology Co., Ltd.	32.7
Jinan Acetate Chemical Co., Ltd.	32.3
Jinhong Gas Co., Ltd.	34.8
Jinneng Science & Technology Co., Ltd.	34.5
Johnson Matthey Plc	18.8
JSP Corp.	29.6
JSR Corp.	29.4
Jubilant Ingrevia Ltd.	28.0
K+S AG	26.9
Kaneka Corp.	29.8
Kansai Nerolac Paints Ltd.	19.5
Kansai Paint Co., Ltd.	29.2
Kanto Denka Kogyo Co., Ltd.	41.9
KCC Glass Corp.	21.5
KeePer Technical Laboratory Co., Ltd.	40.7
Kemira Oyj	22.7
Keshun Waterproof Technologies Co., Ltd.	34.4
KH Neochem Co., Ltd.	27.4
Kimteks Poliuretan Sanayi ve Ticaret AS	24.3
Kingboard Holdings Ltd.	34.3
Kingboard Laminates Holdings Ltd.	37.7
Kingfa Sci. & Tech. Co., Ltd.	31.8
Koatsu Gas Kogyo Co., Ltd.	35.5
Kolon Corp.	38.2
Kolon Industries, Inc.	24.0
Konishi Co., Ltd.	33.5
Koppers Holdings, Inc.	24.1
KOREA PETROCHEMICAL IND Co., Ltd.	24.7
Kronos Worldwide, Inc.	27.2
Kumho Petrochemical Co., Ltd.	18.7
Kumiai Chemical Industry Co., Ltd.	39.6
Kunshan Dongwei Technology Co., Ltd.	35.3
KURABO INDUSTRIES LTD.	33.9
Kuraray Co., Ltd.	29.7
Kureha Corp.	27.4
L&F Co., Ltd.	39.7
Lanxess AG	22.0
Latin Resources Ltd.	46.3
Laxmi Organic Industries Ltd.	28.8
LB Group Co., Ltd.	28.7
Lenzing AG	20.2
Levima Advanced Materials Corp.	31.6
LG Chem Ltd.	21.3
Li-Cycle Holdings Corp.	35.4
Lianhe Chemical Technology Co., Ltd.	49.6
Lier Chemical Co., Ltd.	46.1
Lightwave Logic, Inc.	33.4
Lihuayi Weiyuan Chemical Co., Ltd.	32.0
Linde India Ltd.	22.1
Linde Plc	11.6
LINTEC Corp.	24.5
Lithium Americas Corp.	42.5
Livent Corp.	19.7
Lotte Chemical Corp.	23.3
Lotte Chemical Titan Holding Bhd.	23.2
LOTTE Fine Chemical Co., Ltd.	27.0
LSB Industries, Inc.	42.4
Luxi Chemical Group Co., Ltd.	32.8
LyondellBasell Industries NV	19.8
Mec Co., Ltd.	25.7
MEGlobal Canada ULC	28.9
Mesaieed Petrochemical Holding Co. QSC	30.2
Methanex Corp.	21.5
Methanol Chemicals Co.	35.1
Minerals Technologies, Inc.	21.8
Misr Fertilizers Production Co. MOPCO	43.4
Mitsubishi Chemical Group Corp.	31.0
Mitsubishi Gas Chemical Co., Inc.	25.0
Mitsui Chemicals, Inc.	23.6
Miwon Commercial Co., Ltd.	36.0
Miwon Specialty Chemical Co., Ltd.	32.2
MNtech Co., Ltd.	37.0
Moriroku Holdings Co., Ltd.	38.9
Namhae Chemical Corp.	51.4
Nan Pao Resins Chemical Co., Ltd.	26.7
Nan Ya Plastics Corp.	24.4
Nanofilm Technologies International Ltd.	29.0
Nantex Industry Co., Ltd.	31.9
Nantong Jiangshan Agrochemical & Chemicals Co., Ltd.	48.8
National Industrialization Co.	32.2
Navin Fluorine International Ltd.	33.3
Neogen Chemicals Ltd.	35.1
NewMarket Corp.	33.7
Nihon Nohyaku Co., Ltd.	39.9
Nihon Parkerizing Co., Ltd.	31.3
Ningbo Shanshan Co., Ltd.	34.6
Ningbo Yunsheng Co., Ltd.	36.1
Ningxia Baofeng Energy Group Co., Ltd.	31.8
Nippon Fine Chemical Co., Ltd.	35.9
Nippon Kayaku Co., Ltd.	33.5
Nippon Paint Holdings Co., Ltd.	34.0
Nippon Sanso Holdings Corp.	24.4
Nippon Shokubai Co., Ltd.	29.7
Nippon Soda Co., Ltd.	24.9
Nissan Chemical Corp.	23.0
Nitto Denko Corp.	25.6
NOCIL Ltd.	21.2
NOF Corp.	28.5
North Electro-Optic Co., Ltd.	34.2
North Huajin Chemical Industries Co., Ltd.	52.1
NOVA Chemicals Corp.	23.1
Novozymes A/S	13.7
Nufarm Ltd.	31.0
Nutrien Ltd.	29.0
OCI Holdings Co. Ltd.	27.2
OCI NV	33.3
OCP SA	14.3
Okamoto Industries, Inc.	33.0
Okura Industrial Co., Ltd.	28.5
Olin Corp.	28.8
Omnia Holdings Ltd.	19.6
Orbia Advance Corp. SAB de CV	17.9
Orica Ltd.	34.4
Oriental Union Chemical Corp.	28.9
Origin Materials, Inc.	33.5
Orion SA	25.3
Osaka Organic Chemical Industry Ltd.	31.9
OSAKA SODA CO., LTD.	39.0
Pacific Shuanglin Bio-pharmacy Co., Ltd.	37.7
Panama Petrochem Ltd.	34.5
Paradeep Phosphates Ltd.	36.6
PCBL Ltd.	21.4
Perimeter Solutions SA	36.8
Petkim Petrokimya Holding AS	22.7
PETRONAS Chemicals Group Bhd.	19.2
PhiChem Corp.	34.0
PI Advanced Materials Co., Ltd.	24.1
PI Industries Ltd.	28.2
Pidilite Industries Ltd.	29.8
Piedmont Lithium, Inc.	41.7
Polisan Holding AS	24.5
Politeknik Metal Sanayi ve Ticaret AS	25.6
POSCO Future M Co., Ltd.	26.3
PPG Industries, Inc.	22.3
Privi Speciality Chemicals Ltd.	39.7
Proman AG	22.4
PT Avia Avian Tbk	22.6
PT Barito Pacific Tbk	24.5
PT Chandra Asri Pacific Tbk	16.3
PT ESSA Industries Indonesia Tbk	49.5
PT Pupuk Kalimantan Timur	21.9
PTT Global Chemical Plc	17.4
Qinghai Salt Lake Industry Co., Ltd.	54.1
Quaker Houghton	27.6
Rallis India Ltd.	33.9
