	Note ESG
Corporación Financiera Colombiana SA	13.4
CPPIB Capital, Inc.	30.0
Creades AB	16.0
Credit Acceptance Corp.	24.9
Credit Corp. Group Ltd.	15.5
Crédit Logement SA	23.6
Credit Saison Co., Ltd.	27.3
CreditAccess Grameen Ltd.	19.7
CRISIL Ltd.	17.9
Criteria Caixa SA	11.8
CSC Financial Co., Ltd.	28.7
CSSC (Hong Kong) Shipping Co., Ltd. (Hong Kong)	28.2
D'Ieteren Group	11.2
Daishin Securities Co., Ltd.	37.2
Daiwa Securities Group, Inc.	18.3
Daol Investment & Securities Co., Ltd.	38.8
Daou Technology, Inc.	39.0
DekaBank Deutsche Girozentrale	16.3
Deutsche Beteiligungs AG	30.2
Deutsche Börse AG	11.2
Dexia Holding SA	39.0
Dhani Services Ltd.	36.1
Dhipaya Group Holdings PCL	35.3
Diamond Hill Investment Group, Inc.	27.3
Discover Financial Services	22.8
Dongxing Hong Kong	33.6
Dongxing Securities Co., Ltd.	34.0
Donnelley Financial Solutions, Inc.	19.6
Downing Renewables & Infrastructure Trust Plc	30.5
Drumaville Ltd.	36.0
Dua Capital Ltd.	36.0
Dubai Financial Market PJSC	22.9
DWS Group GmbH & Co. KGaA	18.8
Eagle Parent Holdings LP	36.4
East Money Information Co., Ltd.	26.6
ECN Capital Corp.	27.0
Edelweiss Financial Services Ltd.	31.7
EFG Holding SAE	30.8
EFG International AG	18.9
eGuarantee, Inc.	26.5
Egypt Kuwait Holding Co. SAE	38.4
Encore Capital Group, Inc.	21.0
EnfraGen Spain SA	35.8
Enova International, Inc.	24.1
Enterprise Holdings, Inc.	22.9
ENW Finance PLC	26.1
Eos Energy Enterprises, Inc.	24.7
EOS Holding GmbH	9.9
eQ Oyj	29.2
EQT AB	16.7
EQT Holdings Ltd.	27.5
Equital Ltd.	19.0
Erste Abwicklungsanstalt	35.5
ESIC Sukuk Ltd.	35.6
Estithmar Holding QPSC	39.4
EUGENE INVESTMENT & SECURITIES Co., Ltd.	35.2
Eurazeo SE	15.1
Euroclear AG	23.9
Euronext NV	13.4
Everbright Securities Co., Ltd.	36.0
Evercore, Inc.	25.9
EXOR NV	15.4
EZCORP, Inc.	24.8
Fairfax India Holdings Corp.	29.8
Far East Horizon Ltd.	25.5
Federal Home Loan Bank System	18.9
Federated Hermes, Inc.	31.6
Ferguson Finance Plc	28.0
Fiera Capital Corp.	31.8
Finance of America Cos., Inc.	24.8
Financial Partners Group Co., Ltd.	28.4
Financière de Tubize SA	37.3
FinVolution Group	18.7
First Capital Securities Co., Ltd.	29.1
First Nations Finance Authority, Inc.	29.9
First Western Financial, Inc.	39.3
FirstCash Holdings, Inc.	27.9
Five-Star Business Finance Ltd.	29.5
flatexDEGIRO AG	16.4
FleetPartners Group Ltd.	16.7
Flex Intermediate Holdco LLC	36.0
Flow Traders Ltd.	25.2
FMR LLC	36.3
FMS Wertmanagement	35.1
Focus Financial Partners, Inc.	24.9
Folio Residential Finance No. 1 Plc	31.3
FORESEA Holding SA	36.0
Foresight Environmental Infrastructure Ltd.	20.1
Foresight Group Holdings Ltd.	27.5
Foresight Sustainable Forestry Co. Plc	30.4
Founder Securities Co., Ltd.	35.6
Franklin Resources, Inc.	19.7
Freedom Holding Corp.	35.8
FS Investment Corporation	28.0
Funding Circle Holdings Plc	25.2
Fusion Finance Ltd.	26.8
Futu Holdings Ltd.	27.7
Futures Treasury PLC	30.7
Fuyo General Lease Co., Ltd.	26.3
Galaxy Cosmos Mezz Plc	38.8
GB Social Housing Plc	33.5
GCM Grosvenor, Inc.	30.3
General Motors Financial Co., Inc.	17.7
Gentera SAB de CV	17.1
GF Securities Co., Ltd.	29.8
Gielda Papierow Wartosciowych w Warszawie SA	23.4
Gimv NV	10.5
Global Jet Capital, Inc.	27.6
GMO Financial Holdings, Inc.	38.5
goeasy Ltd.	26.9
Goldman Sachs BDC, Inc.	32.1
Golub Capital BDC, Inc.	32.2
Gore Street Energy Storage Fund PLC	28.5
GQG Partners, Inc.	28.7
GrandLinq GP, Inc.	31.3
Green Dot Corp.	26.8
GRENKE AG	20.0
Groupe Bruxelles Lambert SA	8.6
Grupo Bolivar SA	17.0
Grupo de Inversiones Suramericana SA	10.1
GT Capital Holdings, Inc.	14.8
Guangdong Golden Dragon Development, Inc.	41.7
Guangzhou Yuexiu Capital Holdings Group Co. Ltd.	31.8
Guggenheim Securities LLC	36.4
Guoco Group Ltd.	32.6
Guolian Securities Co., Ltd.	32.8
Guosen Securities Co., Ltd.	27.7
Guosheng Financial Holding Inc.	41.1
Guotai Junan International Holdings Ltd.	31.7
