	Note ESG
Jollibee Foods Corp.	30.0
JP Holdings, Inc.	20.1
Jubilant FoodWorks Ltd.	22.4
Jumbo Interactive Ltd.	19.8
Kambi Group Plc	29.6
Kangwon Land, Inc.	28.0
Kappa Create Co., Ltd.	38.0
KFC Holdings Japan Ltd.	31.0
Kindred Group Plc	21.6
KISOJI CO., LTD.	36.0
KNT-CT Holdings Co. Ltd.	33.8
KOMEDA Holdings Co., Ltd.	28.1
Koshidaka Holdings Co., Ltd.	35.1
Kourakuen Corp.	39.2
Kura Sushi USA, Inc.	33.5
Kura Sushi, Inc.	33.9
Kyoritsu Maintenance Co., Ltd.	33.3
La Française des Jeux SA	14.8
Las Vegas Sands Corp.	20.7
Laureate Education, Inc.	18.9
Leejam Sports Co. JSC	19.3
Lemon Tree Hotels Ltd.	22.1
Lernen Midco 2 Ltd.	11.4
Life Time Group Holdings, Inc.	32.0
Light & Wonder, Inc.	32.4
Lincoln Educational Services Corp.	17.6
Lindblad Expeditions Holdings, Inc.	37.2
Lion Travel Service Co., Ltd.	31.5
Lotte Tour Development Co., Ltd.	20.6
Lottomatica Group SpA	17.0
Lottomatica SpA	9.5
Lungyen Life Service Corp.	16.3
Macquarie University	15.0
Magnum Bhd.	27.3
Mahindra Holidays & Resorts India Ltd.	27.5
Mandarin Oriental International Ltd.	28.1
Marcus Corp.	31.6
Marriott International, Inc.	19.2
Marriott Vacations Worldwide Corp.	26.1
Marston's Plc	22.3
Marti Otel Isletmeleri AS	36.3
Maruchiyo Yamaokaya Corp.	34.8
Massachusetts Institute of Technology	12.9
Matsuya Foods Holdings Co., Ltd.	33.6
McDonald's Corp.	25.9
McDonald's Holdings Co. (Japan) Ltd.	26.6
McGill University	14.7
McMaster University	14.9
ME Group International Plc	16.7
MegaStudyEdu Co., Ltd.	19.2
Melco International Development Ltd.	28.3
Melco Resorts & Entertainment Ltd.	24.1
Meliá Hotels International SA	23.9
MGM China Holdings Ltd.	25.9
MGM Resorts International	24.2
Minor Hotels Europe & Americas SA	21.6
Minor International Public Co., Ltd.	24.9
Miramar Hotel & Investment Co., Ltd.	28.9
Mister Car Wash, Inc.	16.4
Mitchells & Butlers Plc	30.8
MK Restaurant Group PCL	26.7
MODETOUR NETWORK Inc.	37.2
Monarch Casino & Resort, Inc.	30.0
Monte-Carlo Société des Bains de Mer SA	24.0
MOS FOOD SERVICES, INC.	29.1
MTY Food Group, Inc.	35.7
Multiversity SpA	7.6
NagaCorp Ltd.	29.6
Nathan's Famous, Inc.	29.6
National Co. for Learning & Education	22.3
Net Holding AS	32.0
New Oriental Education & Technology Group, Inc.	17.5
Noodles & Co.	32.9
Northwestern University	13.1
Norwegian Cruise Line Holdings Ltd.	20.0
Offcn Education Technology Co., Ltd.	18.8
Ohsho Food Service Corp.	30.5
OneSpaWorld Holdings Ltd.	17.3
Oriental Land Co., Ltd.	25.0
Papa John's International, Inc.	34.6
Paradise Co., Ltd.	38.0
Park Lawn Corp.	17.2
PENN Entertainment, Inc.	25.1
Perdoceo Education Corp.	16.6
Perfect Medical Health Management Ltd.	17.3
Pierre & Vacances SA	24.7
Planet Fitness, Inc.	26.7
Playa Hotels & Resorts NV	23.5
Playtech Plc	11.5
Playtika Holding Corp.	27.0
PointsBet Holdings Ltd.	26.6
Pollard Banknote Ltd.	26.3
Portillo's, Inc.	31.7
Potbelly Corp.	30.4
PPHE Hotel Group Ltd.	26.5
President & Fellows of Harvard College	17.7
Queen's University	17.2
RAC Ltd.	22.2
RAINBOW TOURS SA	31.8
Rank Group Plc	26.9
RCI Hospitality Holdings, Inc.	32.6
Red Robin Gourmet Burgers, Inc.	30.8
Red Rock Resorts, Inc.	31.3
Rent the Runway, Inc.	18.0
Resorttrust, Inc.	27.8
Restaurant Brands Asia Ltd.	31.2
Restaurant Brands International, Inc.	22.0
Restaurant Brands New Zealand Ltd.	29.6
Ringer Hut Co., Ltd.	37.6
Riso Kyoiku Co., Ltd.	20.2
ROUND ONE Corp.	34.1
Royal Caribbean Group	18.3
Royal Holdings Co., Ltd.	32.8
Rush Street Interactive, Inc.	31.0
Sagami Holdings Corp.	37.0
Saint Marc Holdings Co., Ltd.	35.4
Saizeriya Co., Ltd.	34.6
Sands China Ltd.	17.3
Sapphire Foods India Ltd.	29.0
SATS Ltd.	24.3
Saudi Automotive Services Co.	21.7
Saudi Industrial Services Co.	19.6
Scandic Hotels Group AB	24.2
Seera Holding Group	35.0
Serko Ltd.	16.3
Service Corp. International	15.2
Shake Shack, Inc.	35.5
Shanghai Jin Jiang International Hotels Co., Ltd.	30.0
Shangri-La Asia Ltd.	24.8
Simon Fraser University	14.9
SISB Public Co., Ltd.	19.3
Six Flags Entertainment Corp. (US)	25.9
SJM Holdings Ltd.	28.5
SkiStar AB	23.8
SKYCITY Entertainment Group Ltd.	20.9
Skylark Holdings Co., Ltd.	26.6
Smartfit Escola de Ginástica e Dança SA	18.5
Sodexo SA	23.3
Sodexo, Inc.	20.7
Sports Toto Bhd.	21.9
SSP Group Plc	22.6
Stanford University	14.8
Starbucks Corp.	22.3
Strategic Education, Inc.	16.8
Stride, Inc.	15.9
Studio Alice Co., Ltd.	20.1
Studio City Co. Ltd.	21.7
Sun International Ltd.	22.5
Sunny Express Enterprises Corp.	18.7
Super Hi International Holding Ltd.	32.1
Sweetgreen, Inc.	28.7
Taaleem Holdings PJSC	18.5
Tabcorp Holdings Ltd.	17.0
TAL Education Group	17.9
Target Hospitality Corp.	30.5
Terminix Global Holdings, Inc.	11.2
Texas Roadhouse, Inc.	27.1
The Ambassador Hotel Ltd.	26.9
The George Washington University	13.6
The Gym Group Plc	26.6
The Hongkong & Shanghai Hotels Ltd.	26.0
The Lottery Corp. Ltd.	24.6
The Monogatari Corp.	31.1
The ONE Group Hospitality, Inc.	32.1
The Restaurant Group Plc	21.4
The Star Entertainment Group Ltd.	23.0
The University of Liverpool	12.0
The University of Manchester	11.2
The University of Southampton	11.6
The University of Sydney	13.5
The Wendy's Co.	21.8
Thomas Cook (India) Ltd.	30.4
Thomas Jefferson University	17.4
Tokyo Individualized Educational Institute, Inc.	16.6
Tokyotokeiba Co., Ltd.	30.5
TORIDOLL Holdings Corp.	31.6
Toronto Metropolitan University of	14.3
Tosho Co., Ltd.	30.8
Travel + Leisure Co.	24.6
Tsogo Sun Ltd.	31.9
TUHU Car, Inc.	20.0
TUI AG	26.3
United Parks & Resorts, Inc.	29.4
Universal Technical Institute, Inc.	18.4
University College London	11.4
University of British Columbia	14.2
University of Cambridge	13.9
University of Cardiff	11.6
University of Guelph	15.5
University of Leeds	13.1
University of Melbourne	13.5
University of Miami	17.2
University of Ontario Institute of Technology	15.8
University of Oxford	13.2
University of Quebec	16.9
University of Southern California	16.2
