	Note ESG
Infibeam Avenues Ltd.	24.2
Inter Cars SA	11.5
Isetan Mitsukoshi Holdings Ltd.	24.8
istyle, Inc.	29.4
Italtile Ltd.	15.7
IVS Group SA	24.0
Izumi Co., Ltd.	21.9
J. FRONT RETAILING Co., Ltd.	18.3
J.Jill, Inc.	17.7
Jarir Marketing Co.	19.7
JB Hi-Fi Ltd.	14.4
JD Sports Fashion Plc	12.6
JD.com, Inc.	25.9
Jiangsu Yinhe Electronics Co., Ltd.	22.6
Jins Holdings, Inc.	17.9
Joshin Denki Co., Ltd.	14.2
Joyful Honda Co. Ltd.	17.8
Jumbo SA	19.6
K Car Co., Ltd.	16.8
K's Holdings Corp.	18.0
Kamux Oyj	12.1
Kenvue, Inc.	17.0
Kidswant Children Products Co., Ltd.	19.5
Kingfisher plc	9.6
Kintetsu Department Store Co. Ltd.	23.6
KMD Brands Ltd.	15.1
Kogan.com Ltd.	24.8
Kohl's Corp.	18.1
Kohnan Shoji Co., Ltd.	22.0
Kojima Co., Ltd.	21.8
KOMERI CO., LTD.	20.2
L'Occitane International SA	12.7
Lagardère SA	14.3
Lands' End, Inc.	28.6
Lazydays Holdings, Inc.	20.8
Leslie's, Inc.	17.3
Liaoning Cheng Da Co., Ltd.	16.5
Liberty TripAdvisor Holdings, Inc.	27.8
Lifestyle International Holdings Ltd.	20.5
Lithia Motors, Inc.	10.2
LKQ Corp.	11.0
Lojas Quero-Quero SA	17.5
Lojas Renner SA	14.8
LOTTE Himart Co., Ltd.	13.5
Lotte Shopping Co., Ltd.	19.5
Lovisa Holdings Ltd.	17.4
Lowe's Companies, Inc.	11.9
LPP SA	19.4
Luk Fook Holdings (International) Ltd.	19.4
lululemon athletica, Inc.	14.1
Macy's, Inc.	20.7
Magazine Luiza SA	21.5
Maoye Commercial Co., Ltd.	22.3
MarineMax, Inc.	17.2
Marui Group Co., Ltd.	19.3
Matas A/S	16.5
Matsuya Co., Ltd.	24.6
MEKO AB	10.2
Mercuries & Associates Holding Ltd.	17.8
Metro Brands Ltd.	17.4
MINISO Group Holding Ltd.	17.4
Mobile World Investment Corp.	21.7
mobilezone holding ag	16.4
momo.com, Inc.	17.6
MonotaRO Co., Ltd.	22.8
Monro, Inc.	12.8
Moonpig Group Plc	23.1
Motorpoint Group Plc	13.2
Mr. Price Group Ltd.	13.2
Musti Group Oyj	18.9
Myer Holdings Ltd.	18.3
MYT Netherlands Parent BV	25.7
NAFCO Co., Ltd.	19.4
NanJi E-Commerce Co., Ltd.	26.8
Nanjing Xinjiekou Department Store Co. Ltd.	23.4
National Vision Holdings, Inc.	16.8
Nelly Group AB	25.0
Next Plc	18.7
Nextage Co., Ltd.	13.4
Nick Scali Ltd.	14.2
Ningbo Peacebird Fashion Co., Ltd.	21.1
NISHIMATSUYA CHAIN Co., Ltd.	22.7
Nitori Holdings Co., Ltd.	16.3
Nojima Corp.	15.9
Nordstrom, Inc.	20.8
North-Star International Co., Ltd.	19.0
Nueva Elektra Del Milenio SA de CV	16.3
O'Reilly Automotive, Inc.	11.8
Ocado Group Plc	21.2
Ollie's Bargain Outlet Holdings, Inc.	21.7
On The Beach Group Plc	29.6
OneWater Marine, Inc.	17.9
Oriental Watch Holdings Ltd.	18.9
Ozon Holdings Plc	27.2
Padini Holdings Bhd.	15.2
Page Industries Ltd.	15.6
PAL GROUP Holdings Co., Ltd.	20.3
Paltac Corp.	15.0
Pan German Universal Motors Ltd.	21.5
Pan Pacific International Holdings Corp.	22.7
PDD Holdings, Inc.	28.9
Penske Automotive Group, Inc.	12.6
Pepco Group NV	24.0
Pepkor Holdings Ltd.	20.5
Pet Center Comércio e Participações SA	22.4
Pet Valu Holdings Ltd.	18.5
Petco Health & Wellness Company, Inc.	15.7
PetMed Express, Inc.	26.6
Pets At Home Group Plc	12.8
Pierce Group AB	28.1
Pinewood Technologies Group Plc	13.5
Pool Corp.	10.9
Pop Mart International Group Ltd.	18.8
POYA International Co., Ltd.	16.4
Premier Investments Ltd.	17.5
PT Aspirasi Hidup Indonesia Tbk	19.6
PT Bintang Oto Global	14.0
PT Bukalapak.com Tbk	25.8
PT Global Digital Niaga Tbk	24.3
PT MAP Aktif Adiperkasa Tbk	21.0
PT Matahari Department Store Tbk	20.5
PT Mitra Adiperkasa Tbk	24.7
PT Mitra Pinasthika Mustika Tbk	10.1
PTG Energy Public Co. Ltd.	11.2
Puuilo Oyj	13.2
Qurate Retail, Inc.	25.8
Rainbow Digital Commercial Co., Ltd.	22.2
Raízen SA (Brazil)	18.8
REDTAPE Ltd.	19.6
Resideo Technologies, Inc.	7.6
Retailors Ltd.	21.4
Revolve Group, Inc.	20.6
RH	17.5
Ripley Corp. SA	21.4
Riverside Group, Inc.	13.2
Rizzo Group AB	20.8
Ross Stores, Inc.	17.0
Rover Group, Inc.	27.4
RVRC Holding AB	18.0
Ryoden Corp.	12.0
Ryohin Keikaku Co., Ltd.	19.4
Sa Sa International Holdings Ltd.	21.3
Sally Beauty Holdings, Inc.	20.1
Sanrio Co., Ltd.	22.0
Saudi Co. for Hardware	23.1
Savers Value Village, Inc.	19.7
Senao International Co., Ltd.	15.0
Seobu T&D Co., Ltd.	16.9
Seria Co. Ltd.	20.4
Shanghai Bailian Group Co., Ltd.	27.7
Shanghai Yuyuan Tourist Mart Group Co., Ltd.	25.1
SHIMAMURA Co., Ltd.	20.3
Shinsegae Co., Ltd.	19.5
Shinsegae International Inc.	20.1
Shinsung Tongsang Co., Ltd.	21.0
Shoe Carnival, Inc.	18.9
Shoppers Stop Ltd.	21.0
Siam Global House Public Co., Ltd.	19.1
Signet Jewelers Ltd.	13.1
SILICON 2 Co., Ltd.	24.0
Singer Thailand Public Co. Ltd.	19.8
Sinomach Automobile Co., Ltd.	22.6
Sinosoft Co., Ltd.	16.8
Sleep Country Canada Holdings, Inc.	15.4
SM Investments Corp.	23.0
Smiths News Plc	10.0
Sonic Automotive, Inc.	18.8
Sportsman's Warehouse Holdings, Inc.	18.9
Staples, Inc.	15.7
Star Plus Legend Holdings Ltd.	22.7
Stitch Fix, Inc.	16.3
Super Group Ltd.	14.3
Super Retail Group Ltd.	13.5
Suwen Tekstil Sanayi Pazarlama AS	29.4
Synsam AB	14.8
T-Gaia Corp.	15.0
Tadiran Group Ltd.	12.8
Taiwan FamilyMart Co., Ltd.	23.1
Takashimaya Co., Ltd.	27.9
TAKKT AG	23.2
Target Corp.	18.6
Teknosa Ic ve Dis Ticaret AS	19.2
Temple & Webster Group Ltd.	23.2
Thangamayil Jewellery Ltd.	20.0
The Aaron's Co., Inc.	15.7
The Buckle, Inc.	16.3
The Cato Corp.	17.5
The Children's Place, Inc.	14.4
The Foschini Group Ltd.	20.9
The Home Depot, Inc.	12.6
The Hour Glass Ltd.	18.4
The ODP Corp.	17.5
The TJX Cos., Inc.	15.8
The Warehouse Group Ltd.	16.3
THG Plc	26.1
thredUP, Inc.	26.8
Three Squirrels, Inc.	28.9
Tile Shop Holdings, Inc.	16.6
Tilly's, Inc.	16.5
Tokmanni Group Oyj	13.0
Topps Tiles Plc	14.5
Topsports International Holdings Ltd.	18.1
Torrid Holdings, Inc.	24.8
Tourism Holdings Ltd.	10.5
Tractor Supply Co.	13.9
Trent Ltd.	22.2
Truworths International Ltd.	11.0
Tsann Kuen Enterprise Co., Ltd.	20.9
Ulta Beauty, Inc.	13.8
Under Armour, Inc.	16.3
Unieuro SpA	16.3
UNITED ARROWS LTD.	20.2
United Electronics Co.	22.5
Upbound Group, Inc.	18.3
Urban Outfitters, Inc.	21.5
USS Co., Ltd.	12.3
V-Mart Retail Ltd.	18.4
Valvoline, Inc.	8.0
Vats Liquor Chain Store Management Joint Stock Co., Ltd.	22.7
Vedant Fashions Ltd.	25.8
Vertu Motors Plc	13.4
Victoria's Secret & Co.	14.8
Vipshop Holdings Ltd.	23.4
VOXX International Corp.	19.0
VT Holdings Co., Ltd.	14.5
Wangfujing Group Co., Ltd.	21.7
Warby Parker, Inc.	20.1
Watches of Switzerland Group Plc	15.3
Wayfair, Inc.	25.3
Wesfarmers Ltd.	14.7
Weyco Group, Inc.	15.4
WH Smith Plc	10.2
Wilcon Depot, Inc.	18.6
Williams-Sonoma, Inc.	11.4
Winmark Corp.	18.4
Woolworths Holdings Ltd.	16.1
Workman Co., Ltd.	19.8
Wushang Group Co., Ltd.	23.4
XEBIO Holdings Co., Ltd.	22.4
Xi'an International Medical Investment Co., Ltd.	23.8
Xinhua Winshare Publishing & Media Co., Ltd.	12.7
Yamada Holdings Co., Ltd.	17.5
Yellow Hat Ltd.	15.1
Yondoshi Holdings, Inc.	15.6
Zalando SE	19.5
Zhejiang Semir Garment Co., Ltd.	20.5
Zhongsheng Group Holdings Ltd.	13.7
ZOZO, Inc.	16.2
Zumiez, Inc.	15.1
