	Note ESG
PT Timah Tbk	49.1
PT Trimegah Bangun Persada Tbk	38.4
PT Vale Indonesia Tbk	29.4
Qatar Aluminium Manufacturing QPSC	43.4
Rio Tinto Ltd.	34.0
Rising Nonferrous Metals Share Co., Ltd.	52.9
SAM-A ALUMINIUM Co., Ltd.	43.3
Sandfire Resources Ltd.	26.9
Saudi Arabian Mining Co.	48.5
Sayona Mining Ltd.	52.6
Shandong Nanshan Aluminum Co., Ltd.	35.0
Shanghai Huafon Aluminium Corp.	40.4
Shengda Resources Co., Ltd.	47.9
Shenghe Resources Holding Co., Ltd.	53.1
Shenzhen Zhongjin Lingnan Nonfemet Co., Ltd.	56.4
Sigma Lithium Corp.	49.9
Sinomine Resource Group Co., Ltd.	57.7
SolGold Plc	49.2
Solus Advanced Materials Co., Ltd.	50.9
South32 Ltd.	22.1
Southern Copper Corp.	25.6
Sumitomo Metal Mining Co. Ltd.	36.0
Syrah Resources Ltd.	35.9
Taseko Mines Ltd.	52.1
Teck Resources Limited	17.1
The Straits Trading Co. Ltd.	50.7
Tianqi Lithium Corp.	46.7
Tianshan Aluminum Group Co., Ltd.	47.9
Tibet Mineral Development Co., Ltd.	49.0
Tibet Summit Resources Co. Ltd.	45.1
Toho Titanium Co., Ltd.	40.9
Toho Zinc Co., Ltd.	47.2
Tongling Nonferrous Metals Group Co., Ltd.	58.7
Tongyu Heavy Industry Co., Ltd.	52.1
UACJ Corp.	34.0
Uranium Energy Corp.	23.8
Vale SA	33.7
Vedanta Ltd.	37.6
Vedanta Resources Ltd.	35.3
Viohalco SA/NV	46.1
Volcan Compania Minera S.A.A.	47.0
Western Mining Co., Ltd.	43.0
Xiamen Tungsten Co., Ltd.	44.1
Xinjiang Joinworld Co., Ltd.	41.9
Xinjiang Xinxin Mining Industry Co., Ltd.	56.2
Yechiu Metal Recycling (China) Ltd.	42.1
Young Poong Corp.	50.5
Yunnan Aluminium Co., Ltd.	46.2
Yunnan Chihong Zinc & Germanium Co., Ltd.	60.2
Yunnan Copper Co., Ltd.	50.2
Yunnan Lincang Xinyuan Germanium Industry Co., Ltd.	56.2
Yunnan Tin Co., Ltd.	55.5
Zhejiang Hailiang Co. Ltd.	54.9
Zhejiang Huayou Cobalt Co., Ltd.	48.5
Zhejiang Tony Electronic Co., Ltd.	53.3
