	Note ESG
Phihong Technology Co., Ltd.	21.3
Plug Power, Inc.	27.9
PNE AG	30.3
Polycab India Ltd.	17.1
Powell Industries, Inc.	23.4
PowerCell Sweden AB	25.8
Preformed Line Products Co.	26.0
Prysmian SpA	16.1
Pylon Technologies Co., Ltd.	29.0
Qingdao Eastsoft Communication Technology Co., Ltd.	30.5
Qingdao Hanhe Cable Co., Ltd.	26.8
Qingdao TGOOD Electric Co., Ltd.	32.2
QuantumScape Corp.	26.9
Regal Rexnord Corp.	21.0
REPT BATTERO Energy Co., Ltd.	30.9
Riyadh Cables Group Co.	28.8
Rockwell Automation, Inc.	20.4
RR Kabel Ltd.	24.8
Sanyo Denki Co., Ltd.	23.0
Sarkuysan Elektrolitik Bakir Sanayi ve Ticaret AS	21.5
Schneider Electric Infrastructure Ltd.	17.7
Schneider Electric SE	10.0
Senshu Electric Co., Ltd.	26.6
SES AI Corp.	28.4
SGL Carbon SE	21.5
Shanghai Electric Group Co., Ltd.	33.7
Shanghai Great Wisdom Co., Ltd.	31.6
Shanghai Liangxin Electrical Co., Ltd.	27.7
Shanghai Moons' Electric Co., Ltd.	36.9
Shanghai Putailai New Energy Technology Co., Ltd.	28.5
Shenzhen Center Power Tech. Co., Ltd.	32.2
Shenzhen Clou Electronics Co., Ltd.	29.5
Shenzhen Desay Battery Technology Co., Ltd.	31.7
Shenzhen Hopewind Electric Co., Ltd.	28.6
Shenzhen Inovance Technology Co., Ltd.	23.3
Shenzhen Kedali Industry Co., Ltd.	35.5
Shenzhen Kstar Science & Technology Co., Ltd.	25.8
Shenzhen KTC Technology Co., Ltd.	38.4
Shenzhen Megmeet Electrical Co., Ltd.	32.2
Shenzhen Senior Technology Material Co., Ltd.	40.6
Shenzhen Woer Heat-Shrinkable Material Co., Ltd.	26.3
Shihlin Electric & Engineering Corp.	23.4
Shijiazhuang Shangtai Technology Co., Ltd.	29.1
Shoals Technologies Group, Inc.	25.1
Siemens Energy AG	11.3
Signify NV	15.8
Sineng Electric Co., Ltd.	32.3
Sinfonia Technology Co., Ltd.	29.1
Sinofibers Technology Co., Ltd.	36.6
Sk Ie Technology Co., Ltd.	21.1
SK on Co., Ltd.	13.4
SKYX Platforms Corp.	29.1
SMA Solar Technology AG	15.8
Smart Günes Enerjisi Teknolojileri Arastirma Gelistirme Üretim	28.8
SolarEdge Technologies, Inc.	15.3
Solid Power, Inc.	28.7
Somfy SA	23.1
SPG Co., Ltd.	28.6
State Grid Yingda Co., Ltd.	28.7
Stem, Inc.	33.5
Sterlite Technologies Ltd.	27.7
Sumitomo Electric Industries Ltd.	20.9
Sungrow Power Supply Co., Ltd.	24.1
Sunstone Development Co., Ltd.	28.2
Sunwoda Electronic Co., Ltd.	34.7
SUPCON Technology Co., Ltd.	27.3
Suzlon Energy Ltd.	28.1
SWCC Corp.	25.0
Ta Ya Electric Wire & Cable Co., Ltd.	29.7
Taihan Electric Wire Co., Ltd.	28.8
Takaoka Toko Co., Ltd.	27.4
Tatsuta Electric Wire & Cable Co., Ltd.	23.0
TBEA Co., Ltd.	31.6
TD Power Systems Ltd.	31.0
TECO Electric & Machinery Co., Ltd.	25.5
Tellhow Sci-Tech Co., Ltd.	28.9
The Nippon Signal Co., Ltd.	33.2
Thermon Group Holdings, Inc.	23.6
Tianneng Battery Group Co., Ltd.	26.9
Titan Wind Energy (Suzhou) Co., Ltd.	29.7
TKH Group NV	22.8
Tongding Interconnection Information Co., Ltd.	31.6
Tongling Jingda Special Magnet Wire Co., Ltd.	28.4
Topsec Technologies Group, Inc.	30.1
Toyo Tanso Co., Ltd.	24.0
Ushio, Inc.	23.1
V-Guard Industries Ltd.	23.9
Varta AG	15.3
Vertiv Holdings Co.	22.6
Vestas Wind Systems A/S	16.3
Vicor Corp.	22.8
Volex Plc	23.5
Voltamp Transformers Ltd.	25.3
Voltronic Power Technology Corp.	22.1
W-Scope Chungju Plant Co., Ltd.	29.4
Walsin Lihwa Corp.	24.2
WEG SA	17.9
Western Superconducting Technologies Co., Ltd.	32.5
Windey Energy Technology Group Co., Ltd.	29.4
Wolong Electric Group Co. Ltd.	28.5
Wuhan Raycus Fiber Laser Technologies Co., Ltd.	30.6
Xi'an Shaangu Power Co. Ltd.	30.8
Xinzhi Group Co., Ltd.	27.7
XJ Electric Co., Ltd.	33.9
XP Power Ltd.	23.0
YASKAWA Electric Corp.	24.4
Zhejiang Chint Electrics Co., Ltd.	34.0
Zhejiang HangKe Technology, Inc. Co.	30.0
Zhejiang Narada Power Source Co., Ltd.	32.5
Zhejiang Wanma Co., Ltd.	27.9
Zhongshan Broad-Ocean Motor Co., Ltd.	28.1
Zhuhai CosMX Battery Co., Ltd.	29.0
