	Note ESG
Sansera Engineering Ltd.	14.7
Schaeffler AG	19.5
SEBANG GLOBAL BATTERY Co., Ltd.	18.4
Shandong Linglong Tyre Co., Ltd.	22.2
Shanghai Baolong Automotive Corp.	28.5
Shanghai Daimay Automotive Interior Co., Ltd.	22.7
Shenzhen Changhong Technology Co., Ltd.	23.4
Shoei Co. Ltd. (7839)	23.1
SL Corp.	17.5
SNT MOTIV Co., Ltd.	21.5
Sogefi SpA	20.0
Sona BLW Precision Forgings Ltd.	14.3
Standard Motor Products, Inc.	23.6
Stanley Electric Co., Ltd.	17.8
Stoneridge, Inc.	22.9
Sumitomo Riko Co. Ltd.	27.5
Sumitomo Rubber Industries, Ltd.	17.8
Sundram Fasteners Ltd.	18.6
SUNGWOO HITECH Co., Ltd.	29.7
Superior Industries International, Inc.	19.9
Suprajit Engineering Ltd.	19.1
Tachi-S Co., Ltd.	16.6
Taiho Kogyo Co., Ltd.	37.4
The Shyft Group, Inc.	17.4
The Yokohama Rubber Co., Ltd.	18.5
TI Fluid Systems Plc	21.3
Tianneng Power International Ltd.	32.1
TOKAI RIKA CO., LTD.	20.3
Tong Yang Industry Co., Ltd.	20.1
Topre Corp.	20.0
Topy Industries, Ltd.	23.3
Toyo Tire Corp.	16.8
Toyoda Gosei Co., Ltd.	13.8
Toyota Boshoku Corp.	16.7
TPR Co., Ltd.	21.3
Triangle Tyre Co., Ltd.	21.5
TS TECH CO., LTD.	21.2
Tube Investments of India Ltd.	21.6
Tung Thih Electronic Co., Ltd.	25.8
Tupy SA	23.2
TVS Holdings Ltd.	23.4
TYC Brother Industrial Co., Ltd.	19.1
Unipres Corp.	22.3
UNO Minda Ltd.	29.9
Valeo SE	8.8
VBG Group AB	15.4
Visteon Corp.	19.5
Vitesco Technologies Group AG	14.8
Wanxiang Qianchao Co., Ltd.	36.2
Weifu High-Technology Group Co. Ltd.	22.0
Wencan Group Co. Ltd.	24.1
XPEL, Inc.	29.4
Yorozu Corp.	27.0
ZF Commercial Vehicle Control Systems India Ltd.	22.9
Zhejiang Asia-Pacific Mechanical & Electronic Co., Ltd.	24.8
Zhejiang Jingu Co., Ltd.	27.9
Zhejiang Shuanghuan Driveline Co., Ltd.	28.1
Zhejiang Wanfeng Auto Wheel Co., Ltd.	20.2
Zhejiang Wanliyang Co., Ltd.	24.4
Zotye Automobile Co., Ltd.	26.3
