	Note ESG
DTE Electric Co.	28.6
DTE Energy Co.	31.3
DTEK Group BV	50.1
Dubai Electricity & Water Authority	31.8
Duke Energy Corp.	27.2
E.ON SE	20.0
Edison International	24.0
Edison SpA	23.3
EDP Renováveis SA	14.6
EDP-Energias de Portugal SA	20.7
Eesti Energia AS	40.9
Electric Power Development Co., Ltd.	40.2
Électricité de France SA	19.8
Electricity Generating Public Co., Ltd.	24.0
Electricity Supply Board Ltd.	26.6
Elenia Oy	16.5
Elia Group SA/NV	14.3
Elia Transmission Belgium NV	14.5
Ellevio AB	20.2
Elmera Group ASA	14.0
Emera, Inc.	29.7
Empresa Generadora de Electricidad Haina SA	38.4
Empresas Públicas de Medellín ESP	35.5
Enagás SA	14.3
Enbridge Gas, Inc.	21.9
EnBW Energie Baden Württemberg AG	23.6
Encavis AG	19.6
Endesa SA	14.7
ENEA SA	43.0
Enel Américas SA	22.2
Enel Chile SA	16.1
Enel SpA	21.6
Energa SA	42.1
Energetický a prumyslový holding as	23.2
Energiekontor AG	26.0
Energisa SA	29.6
Energix-Renewable Energies Ltd.	23.8
ENERGO-PRO as	19.3
Energy Absolute Public Co. Ltd.	20.0
Energy Harbor Corp.	54.0
Enerjisa Enerji AS	16.8
Eneva SA	36.3
Enexis Holding NV	18.4
ENGIE Brasil Energia SA	27.5
Engie Energia Chile SA	30.4
ENGIE SA	30.2
Enlight Renewable Energy Ltd.	14.3
ENMAX Corp.	31.1
ENN Energy Holdings Ltd.	25.1
ENN Natural Gas Co., Ltd.	22.2
Entergy Corp.	25.0
Entergy Texas, Inc.	38.1
EnWin Utilities Ltd.	42.4
EP Infrastructure as	20.0
EPCOR Utilities, Inc.	38.2
Equatorial Energia SA	25.0
eREX Co., Ltd.	29.9
ERG SpA	14.3
Eskom Holdings SOC Ltd.	52.5
Essential Utilities, Inc.	18.5
Eurogrid GmbH	13.8
eustream as	33.1
Evergy, Inc.	29.2
Eversource Energy	18.1
EVN AG	27.0
EWE AG	30.6
Excelerate Energy, Inc.	39.7
Exelon Corp.	19.0
FCC Aqualia SA	24.3
Fingrid Oyj	22.1
First Gen Corp.	27.6
First Philippine Holdings Corp.	43.4
FirstEnergy Corp.	27.5
FirstEnergy Transmission LLC	36.6
Florida Gas Transmission Co. LLC	34.2
Florida Power & Light Co.	24.2
Fluvius System Operator CV	23.5
Foran Energy Group Co., Ltd.	38.3
Fortis, Inc.	26.8
FortisAlberta, Inc.	38.0
FortisBC Energy, Inc.	28.3
FortisBC, Inc.	30.9
Fortum Oyj	23.5
GAIL (India) Ltd.	28.5
Galata Wind Enerji AS	15.2
Gas Malaysia Bhd.	36.9
Gas Networks Ireland	24.9
GCL Energy Technology Co., Ltd.	56.6
GD Power Development Co., Ltd.	49.8
Genesis Energy Ltd.	47.2
Genie Energy Ltd.	54.7
Georgia Global Utilities JSC	43.6
Georgia Power Co.	36.4
Glas Cymru Anghyfyngedig	37.7
Global Power Synergy PCL	30.9
Global Water Resources, Inc.	44.8
Grand Renewable Solar LP	54.3
Grandblue Environment Co., Ltd.	46.1
Greenalia SA	20.1
Greenko Dutch BV	20.8
Greenvolt – Energias Renováveis SA	22.1
Grenergy Renovables SA	10.7
Grupo Energia Bogotá SA ESP	27.8
Guangdong Baolihua New Energy Stock Co., Ltd.	46.0
Guangdong Electric Power Development Co., Ltd.	53.3
Guangdong Investment Ltd.	25.4
Guangdong Meiyan Jixiang Hydropower Co., Ltd.	54.9
Guangdong Shaoneng Group Co., Ltd.	56.9
Guangxi Guiguan Electric Power Co., Ltd.	49.2
Guangzhou Development Group, Inc.	49.7
Gujarat Gas Ltd.	30.7
Gujarat State Petronet Ltd.	30.2
Gulf Energy Development Public Co. Ltd.	33.2
Harbin Hatou Investment Co., Ltd.	53.2
Hawaiian Electric Industries, Inc.	47.1
Henan Yuneng Holding Co., Ltd.	58.8
Hera SpA	15.3
HK Electric Investments & HK Electric Investments Ltd.	24.4
Hokkaido Electric Power Co., Inc.	45.4
Hokkaido Gas Co., Ltd.	42.5
Hokuriku Electric Power Co.	46.9
Holding d'Infrastructures des Métiers de l'Environnement SAS	40.6
Huadian Power International Corp. Ltd.	53.3
Huaneng Lancang River Hydropower Inc.	43.0
Huaneng Power International, Inc.	44.6
