	Note ESG
Guangzhou Zhujiang Brewery Co., Ltd.	39.9
Gujarat Ambuja Exports Ltd.	51.1
Harim Holdings Co., Ltd.	46.1
Health & Happiness (H&H) International Holdings Ltd.	27.1
Hebei Hengshui Laobaigan Liquor Co., Ltd.	32.5
Hebei Yangyuan Zhihui Beverage Co., Ltd.	35.5
Heilongjiang Agriculture Co., Ltd.	45.2
Heineken Holding NV	24.0
Heineken Malaysia Bhd.	19.6
Heineken NV	21.6
Henan Shuanghui Investment & Development Co., Ltd.	37.3
Heritage Foods Ltd.	41.6
Hey-Song Corp.	27.1
Hilton Food Group Plc	23.4
Hindustan Foods Ltd.	41.5
HITEJINRO Co., Ltd.	29.1
Hokuto Corp.	48.0
Hormel Foods Corp.	26.1
Hostess Brands, Inc.	32.6
House Foods Group, Inc.	32.6
Humble Group AB	34.5
Hunan New Wellful Co., Ltd.	44.5
HYUNDAI FEED, Inc.	50.2
Ichitan Group Public Co., Ltd.	36.1
Imperial Brands Plc	30.0
Inghams Group Ltd.	26.3
Ingredion, Inc.	28.7
Inner Mongolia Yili Industrial Group Co., Ltd.	31.2
International Holding Co. PJSC	39.0
IOI Corp. Bhd.	21.9
ITC Ltd.	29.4
ITO EN, LTD.	30.9
Itoham Yonekyu Holdings, Inc.	31.5
J-Oil Mills, Inc.	25.4
J&J Snack Foods Corp.	37.4
Jalles Machado SA	32.5
Japan Tobacco, Inc.	29.1
JBS SA	43.3
JBS USA Food Co.	32.6
JDE Peet's NV	20.5
Jiangsu King's Luck Brewery Joint-stock Co., Ltd.	29.0
Jiangsu Lihua Animal Husbandry Co., Ltd.	47.5
Jiangsu Provincial Agricultural Reclamation & Dev Co., Ltd	42.4
Jiangsu Yanghe Brewery Joint-Stock Co., Ltd.	29.0
Jinan Shengquan Group Share Holding Co., Ltd.	45.5
Jinhui Liquor Co., Ltd.	27.1
JinJian Cereals Industry Co., Ltd.	40.2
Jiugui Liquor Co., Ltd.	30.5
John B. Sanfilippo & Son, Inc.	31.4
Jonjee Hi-Tech Industrial & Commercial Holding Co., Ltd.	43.0
Juewei Food Co., Ltd.	47.8
Kagome Co., Ltd.	35.8
Kameda Seika Co., Ltd.	39.0
Kaveri Seed Co. Ltd.	40.1
Kellanova	30.4
KENKO Mayonnaise Co., Ltd.	43.1
Kerevitas Gida Sanayi ve Ticaret AS	26.9
Kernel Holding SA	46.5
Kerry Group Plc	20.5
Kervan Gida Sanayi ve Ticaret AS	44.5
Keurig Dr Pepper, Inc.	24.3
Kewpie Corp.	30.9
Key Coffee, Inc.	32.6
Khon Kaen Sugar Industry Public Co. Ltd.	41.1
Kikkoman Corp.	33.1
Kirin Holdings Co., Ltd.	23.1
Kotobuki Spirits Co., Ltd.	33.1
KRBL Ltd.	31.3
KT&G Corp.	25.8
Kuala Lumpur Kepong Bhd.	36.2
Kweichow Moutai Co., Ltd.	30.1
KWS SAAT SE & Co. KGaA	36.4
Kyokuyo Co., Ltd.	32.7
Lamb Weston Holdings, Inc.	22.7
Lancaster Colony Corp.	28.6
Lassonde Industries, Inc.	40.4
LDC SA	24.2
Leong Hup International Bhd.	49.1
Lerøy Seafood Group ASA	29.3
Leshan Giantstar Farming & Husbandry Co., Ltd.	47.8
