	Note ESG	1
Salhia Real Estate Co.	24.7	
Samhällsbyggnadsbolaget I Norden AB	10.6	
Samty Co., Ltd.	26.3	
Samty Residential Investment Corp.	21.5	
Sanctuary Housing Association	18.5	
Sankei Real Estate, Inc.	20.0	
Sansiri Public Co. Ltd.	21.2	
Sasseur Real Estate Investment Trust	16.3	
Saudi Real Estate Co.	29.0	
Saul Centers, Inc.	23.9	
Savills Plc	8.3	
SBA Communications Corp.	9.7	
SC Asset Corp. Public Co., Ltd.	20.1	
SCE Intelligent Commercial Management Holdings Ltd.	23.5	
Scentre Group	7.7	
Schroder Real Estate Investment Trust Ltd.	13.7	
Seazen Group Ltd.	26.9	
Seazen Holdings Co. Ltd.	25.1	
SEGRO PLC	6.2	
Sekisui House Reit, Inc.	8.2	
Sella Capital Real Estate Ltd.	23.2	
SELP Finance SARL	16.5	
Seritage Growth Properties	21.9	
Servet Gayrimenkul Yatirim Ortakligi AS	25.0	
Service Properties Trust	14.9	
Shaftesbury Capital Plc	11.3	
Shanghai AJ Group Co., Ltd.	25.2	
Shanghai Jinqiao Export Processing Zone Development Co., Ltd.	21.0	
Shanghai Lingang Holdings Corp., Ltd.	29.6	
Shanghai Lujiazui Finance & Trade Zone Development Co., Ltd.	27.6	
Shanghai Shibei Hi-Tech Co., Ltd.	26.8	
Shanghai Wanye Enterprises Co., Ltd.	24.2	
Shanghai Zhangjiang Hi-Tech Park Development Co., Ltd.	25.0	
Shenzhen Investment Ltd.	23.6	
Shenzhen New Nanshan Holding (Group) Co. Ltd.	28.6	
Shenzhen Overseas Chinese Town Co., Ltd.	27.0	
Shenzhen Properties & Resources Development (Group) Co. Ltd.	22.1	
Shenzhen SEZ Real Estate & Properties (Group) Co., Ltd.	26.7	
Shenzhen WorldUnion Group, Inc.	15.9	
Shihlin Paper Corp.	22.9	
Shimao Group Holdings Ltd.	19.4	
Shimao Services Holdings Ltd.	15.7	
Shinhan Alpha REIT Co., Ltd.	24.1	
Shining Building Business Co., Ltd.	31.3	
Shui On Land Ltd.	17.3	
Shunfa Hengneng Corp.	25.7	
Shurgard Self Storage Ltd.	13.7	
SignatureGlobal (India) Ltd.	24.2	
Sime Darby Property Bhd.	18.4	
Simon Property Group, Inc.	12.5	
Sinad Holding Co.	26.7	
Sinarmas Land Ltd.	14.4	
Sino Land Co. Ltd.	12.0	
Sino-Ocean Group Holdings Ltd.	19.7	
Sinpas Gayrimenkul Yatirim Ortakligi AS	24.0	
Sinyi Realty, Inc.	10.3	
Sirius Real Estate Ltd.	14.5	
SITE Centers Corp.	14.4	
SK D&D Co. Ltd.	21.8	
SK REIT Co., Ltd.	23.7	
SL Green Realty Corp.	11.3	
Slate Grocery REIT	15.9	
SM Prime Holdings, Inc.	21.7	
SmartCentres Real Estate Investment Trust	15.0	
Sobha Ltd.	28.0	
Société Foncière Lyonnaise SA	13.0	
SOHO China Ltd.	18.0	
SOSiLA Logistics REIT, Inc.	18.6	
Southern Housing Group Ltd.	16.5	
Sovereign Housing Capital Plc	18.2	
Spirit Realty Capital, Inc.	14.7	
SRE Holdings Corp.	24.5	
Stack Infrastructure Issuer LLC	20.3	
STAG Industrial, Inc.	13.8	
Star Asia Investment Corp.	16.9	
Starhill Global Real Estate Investment Trust	18.3	
Starts Proceed Investment Corp.	22.8	
Starwood Property Trust, Inc.	8.2	
Stendörren Fastigheter AB	17.6	
Stockland	7.9	
Stride Property Group	18.6	
Sumitomo Realty & Development Co., Ltd.	21.5	
Summit Hotel Properties, Inc.	22.3	
Summit Real Estate Holdings Ltd.	26.7	
Sumou Real Estate Co.	26.2	
Sun Communities, Inc.	14.5	
Sun Frontier Fudousan Co., Ltd.	23.8	
Sun Hung Kai Properties Ltd.	12.8	
Sunac China Holdings Ltd.	28.1	
Sunac Services Holdings Ltd.	16.3	
Suning Universal Co., Ltd.	32.3	
Sunlight Real Estate Investment Trust	18.9	
Sunstone Hotel Investors, Inc.	15.2	
Suntec Real Estate Investment Trust	14.4	
Sunteck Realty Ltd.	16.2	
Sunway Bhd.	16.1	
Sunway Real Estate Investment Trust	8.3	
Supalai Public Co., Ltd.	17.8	
Supermarket Income REIT Plc	13.1	
Suzhou New District Hi-Tech Industrial Co., Ltd.	22.6	
Swedish Logistic Property AB	16.2	
Swire Properties Ltd.	10.2	
Swiss Prime Site AG	11.2	
TAG Immobilien AG	4.6	
Takara Leben Real Estate Investment Corp.	17.7	
Talaat Moustafa Group Holding	35.2	
Tanger, Inc.	14.5	
Target Healthcare REIT Plc	16.0	
TECOM Group PJSC	17.4	
Tejon Ranch Co.	23.1	
Terrafina	7.6	
Terreno Realty Corp.	19.4	
The British Land Co. Plc	8.4	
The Commercial Real Estate Co.	25.5	
The Phoenix Mills Ltd.	19.0	
The PRS REIT Plc	18.2	
The RMR Group, Inc.	18.2	
The St. Joe Co.	28.2	
The UNITE Group Plc	12.9	
The Wharf (Holdings) Ltd.	17.4	
The William Pears Group of Cos. Ltd.	22.3	
Tianjin Troila Information Technology Co., Ltd.	25.9	
Tibet Urban Development & Investment Co., Ltd.	27.1	
Times China Holdings Ltd.	22.9	
TOC Co., Ltd.	22.7	
Tokyo Tatemono Co., Ltd.	16.9	
Tokyu Fudosan Holdings Corp.	17.5	
TOKYU REIT, Inc.	14.4	
Toronto Community Housing Corp.	19.3	
Torunlar Gayrimenkul Yatirim Ortakligi AS	21.1	
Tosei Corp.	23.7	
Tosei REIT Investment Corp.	13.4	
TPG RE Finance Trust, Inc.	18.1	
Transcontinental Realty Investors, Inc.	26.9	
Tricon Residential, Inc.	17.3	
Triple Point Social Housing Reit Plc	16.6	
Tritax Big Box REIT Plc	6.4	
Tritax EuroBox Plc	9.1	
Tropicana Corp. Bhd.	28.3	
Two Harbors Investment Corp.	17.8	
UDR, Inc.	12.9	
UEM Sunrise Bhd.	20.7	
UK Commercial Property REIT Ltd.	11.8	
UMH Properties, Inc.	21.9	
Unibail-Rodamco-Westfield SE	4.1	
United Development Co.	22.9	
United Urban Investment Corp.	13.0	
Uniti Group, Inc.	17.7	
Universal Health Realty Income Trust	20.0	
UOA Development Bhd.	14.6	
UOL Group Ltd.	19.4	
Urban Edge Properties	18.0	
Urban Logistics REIT Plc	12.4	
Urban Renaissance Agency	17.3	
Urstadt Biddle Properties, Inc.	19.7	
Vakif Gayrimenkul Yatirim Ortakligi AS	15.5	
VanWonen Holding BV	19.6	
Vastned Retail NV	17.2	
Ventas, Inc.	11.2	
Veris Residential, Inc.	13.7	
Vesteda Groep BV	11.9	
VGP NV	11.7	
VIA Outlets BV	9.1	
VICI Properties, Inc.	13.9	
Vicinity Centres	7.0	
Villar International Ltd.	28.1	
Vingroup JSC	30.8	
Vinte Viviendas Integrales SAB de CV	17.4	
Vista Land & Lifescapes, Inc.	29.7	
Vital Healthcare Property Trust	18.3	
Vonovia SE	5.8	
Vornado Realty Trust	13.8	
Vukile Property Fund Ltd.	15.6	
W.P. Carey, Inc.	13.9	
Wallenstam AB	12.4	
Warehouse REIT Plc	15.6	
Warehouses De Pauw SA	10.3	
Waypoint REIT Ltd.	13.0	
Welltower OP LLC	12.2	
Welltower, Inc.	11.5	
Wereldhave NV	12.5	
WHA Corp. Public Co. Ltd.	18.0	
WHA Premium Growth Freehold & Leasehold Real Estate Investment	23.0	
Wharf Real Estate Investment Co. Ltd.	16.8	
Wheatley Housing Group Ltd.	16.7	
Wheelock & Co. Ltd.	13.7	
Whitestone REIT	17.3	
Wihlborgs Fastigheter AB	12.0	
Wing Tai Holdings Ltd.	19.5	
Workspace Group Plc	9.6	
Xenia Hotels & Resorts, Inc.	16.7	
Xior Student Housing NV	13.4	
Y. H. Dimri Building & Development Ltd.	26.7	
Yanlord Land (HK) Co., Ltd.	15.1	
Yanlord Land Group Ltd.	24.9	
YeaShin International Development Co. Ltd.	21.6	
Yuexiu Property Co., Ltd.	20.3	
Yuexiu Real Estate Investment Trust	16.8	
Zhejiang China Commodities City Group Co., Ltd.	28.9	
Zhejiang China Light & Textile Industrial City Group Co., Ltd.	24.8	
Zhuhai Huafa Properties Co., Ltd.	30.9	
Ziraat Gayrimenkul Yatirim Ortakligi AS	21.1	
Zug Estates Holding AG	20.8	
