ticker_code
AAPL
MSFT
JPM
V
Z
HD
PG
GS
UNH
VZ
CVX
KO
DIS
MCD
IBM
MRK
BA
MMM
JNJ
WMT
INTC
CSCO
NKE
AXP
CAT
TRV
DOW
WBA
AMGN
