	Note ESG
Adtalem Global Education, Inc.	12.1
ADTRAN Holdings, Inc.	22.1
Adtran Networks SE	14.5
ADVAN GROUP CO., LTD	26.1
Advance Auto Parts, Inc.	10.7
Advance Logistics Investment Corp.	15.9
Advance Residence Investment Corp.	16.8
Advanced Ceramic X Corp.	24.8
Advanced Drainage Systems, Inc.	24.8
Advanced Energy Industries, Inc.	25.0
Advanced Energy Solution Holding Co., Ltd.	19.0
Advanced Enzyme Technologies Ltd.	34.0
Advanced Fiber Resources Zhuhai Ltd.	25.7
Advanced Flower Capital, Inc.	26.3
Advanced Info Service Public Co. Ltd.	21.9
Advanced International Multitech Co. Ltd.	15.0
Advanced Medical Solutions Group Plc	18.5
Advanced Micro Devices, Inc.	13.7
Advanced Micro Fabrication Equipment, Inc. China	23.6
Advanced Nano Products Co., Ltd.	31.2
Advanced Petrochemical Co.	26.5
Advanced Process Systems Corp.	29.4
Advanced Technology & Materials Co., Ltd.	53.0
Advanced Wireless Semiconductor Co.	20.6
Advancetek Enterprise Co. Ltd.	19.4
Advansix, Inc.	21.6
Advantage Energy Ltd.	38.6
Advantage Solutions, Inc. (California)	20.5
Advantech Co., Ltd.	17.8
Advantest Corp.	15.5
ADvTECH Ltd.	17.2
Adyen NV	18.1
AECC Aero-engine Control Co., Ltd.	44.2
AECC Aviation Power Co., Ltd.	49.3
AECI Ltd.	27.1
AECOM	26.9
Aecon Group, Inc.	37.1
AEDAS Homes SA	12.6
Aedifica SA	9.3
Aegea Saneamento e Participaçoes SA	13.0
Aegean Airlines SA	27.7
Aegis Logistics Ltd.	38.6
Aegon Ltd.	14.0
Aehr Test Systems	22.2
Aekyung Chemical Co., Ltd.	26.0
Aekyung Industrial Co., Ltd.	33.2
AEM Holdings Ltd.	19.7
Aena S.M.E. SA	9.9
AEON Co. (Malaysia) Bhd.	17.4
AEON Co., Ltd.	23.4
AEON Credit Service (M) Bhd.	22.3
AEON DELIGHT CO., LTD.	23.5
AEON Fantasy Co., Ltd.	29.7
AEON Financial Service Co., Ltd.	27.9
AEON Hokkaido Corp.	20.5
AEON Kyushu Co., Ltd.	21.2
AEON Mall Co., Ltd.	19.0
AEON REIT Investment Corp.	16.5
AEON Thana Sinsap (Thailand) Public Co. Ltd.	24.2
AerCap Holdings NV	17.8
Aeroporti di Roma SpA	13.7
Aéroports de Montréal	17.0
Aéroports de Paris ADP	17.5
Aeropuerto Internacional De La Ciudad De México S.A. de C.V.	22.5
Aeropuertos Dominicanos Siglo XXI SA	23.7
Aerospace Hi-Tech Holding Group Co., Ltd.	28.9
Aerovate Therapeutics, Inc.	30.3
AeroVironment, Inc.	31.3
AerSale Corp.	20.1
AES Andes SA	30.8
AES Brasil Energia SA	10.4
Aeva Technologies, Inc.	37.2
AEVIS VICTORIA SA	37.9
AEW UK REIT Plc	16.5
AF Gruppen ASA	36.4
Affiliated Managers Group, Inc.	19.6
Affin Bank Bhd.	26.7
Affinity Water Ltd.	27.5
Affirm Holdings, Inc.	22.9
Affle (India) Ltd.	20.5
Affordable Housing Finance Plc	29.3
AFI Properties Ltd.	24.7
Aflac, Inc.	18.6
Africa Finance Corp.	14.1
Africa Israel Residences Ltd.	24.5
Africa Oil Corp.	44.6
African Export-Import Bank	38.0
African Rainbow Minerals Ltd.	30.7
African Risk Capacity Ltd.	8.0
Afrimat Ltd.	34.4
AFRY AB	17.0
After You Public Co. Ltd.	33.2
AG Anadolu Grubu Holding AS	34.7
Ag Growth International, Inc.	22.1
AGC, Inc. (Japan)	22.8
AGCO Corp.	17.2
AGCO Finance LLC	21.9
ageas SA/NV	15.1
Agence Française de Développement	10.5
Agence France Locale Société anonyme	16.1
Agenus, Inc.	36.9
AGI Greenpac Ltd.	20.3
Agile Group Holdings Ltd.	24.0
Agilent Technologies, Inc.	11.4
Agiliti, Inc. (Minnesota)	20.3
Agility Public Warehousing Co. KSC	18.1
Agilon Health, Inc.	23.5
Agilysys, Inc.	13.2
Agios Pharmaceuticals, Inc.	26.6
AGL Energy Ltd.	32.9
AGNC Investment Corp.	8.7
Agnico Eagle Mines Ltd.	21.8
AGRANA Beteiligungs-AG	31.2
Agree Realty Corp.	15.2
Agricultural Bank of China Ltd.	32.6
Agricultural Bank of China Ltd. (Singapore)	28.8
Agricultural Development Bank of China	16.4
Agrosuper SA	36.5
Agthia Group PJSC	25.6
Agua y Saneamientos Argentinos SA	37.5
Aguas Andinas SA	24.4
AGV Products Corp.	35.3
Ahlatci Dogal Gaz Dagitim Enerji ve Yatirim AS	45.6
Ahli Bank QPSC	35.1
Ahli United Bank	25.8
Ahluwalia Contracts (India) Ltd.	40.8
Ahnlab, Inc.	25.5
Ai Holdings Corp.	15.4
AIA Engineering Ltd.	26.0
AIA Group Ltd.	14.3
AIB Group plc	11.4
Aica Kogyo Co., Ltd.	26.9
Aichi Corp.	29.4
Aichi Financial Group, Inc.	29.6
Aichi Steel Corp.	36.8
Aida Engineering Ltd.	30.8
Aier Eye Hospital Group Co., Ltd.	29.4
AIFUL Corp.	29.5
AIM Vaccine Co., Ltd.	27.5
AIMA Technology Group Co., Ltd.	13.0
AIMCo Realty Investors LP	28.5
AIMECHATEC Ltd.	23.2
AIMS APAC REIT	14.1
Ain Holdings, Inc.	20.7
Aiphone Co., Ltd.	18.7
Air Arabia PJSC	37.5
Air Canada	25.5
Air China Ltd.	28.6
Air France-KLM SA	24.2
Air Lease Corp.	13.4
Air Liquide SA	13.2
Air New Zealand Ltd.	29.8
Air Products & Chemicals, Inc.	14.8
Air Transport Services Group, Inc.	23.6
Air Water, Inc.	22.6
Airbnb, Inc.	23.4
Airbus SE	24.1
Aircastle Ltd.	22.1
Airoha Technology Corp.	35.6
Airport Authority Hong Kong	13.2
Airport City Ltd.	24.4
Airport Facilities Co., Ltd.	23.9
Airports of Thailand Public Co. Ltd.	18.4
AirSculpt Technologies, Inc.	33.1
Airservices Australia	19.3
Airtac International Group	30.0
Airtel Africa Plc	22.0
AirTrip Corp.	39.8
Aisan Industry Co., Ltd.	25.6
Aisin Corp.	24.5
Aisino Corp.	25.1
AIXTRON SE	20.8
AJ Bell Plc	23.9
Ajanta Pharma Ltd.	30.7
Ajinomoto Co., Inc.	25.8
Ajman Bank PJSC	37.6
AK Medical Holdings Ltd.	27.9
Akamai Technologies, Inc.	13.3
Akatsuki, Inc.	24.1
Akbank TAS	14.8
Akcansa Cimento Sanayi ve Ticaret AS	28.7
Akelius Residential Property AB	16.8
Aker ASA	14.6
Aker BP ASA	35.3
Aker Carbon Capture AS	23.0
Aker Solutions ASA	19.5
Akero Therapeutics, Inc.	37.6
Akeso, Inc.	32.3
Akfen Yenilenebilir Enerji AS	27.9
Akis Gayrimenkul Yatirim Ortakligi AS	11.4
Akoustis Technologies, Inc.	24.4
Akoya Biosciences, Inc.	31.8
Aksa Akrilik Kimya Sanayii AS	15.7
Aksa Enerji Üretim AS	34.3
Aksigorta AS	23.9
Aktia Bank Plc	26.1
Akumin, Inc.	25.8
Akzo Nobel India Ltd.	26.5
Akzo Nobel NV	19.1
Al Ahli Bank of Kuwait KSC	29.9
Al Dawaa Medical Services Co.	19.5
Al Hammadi Holding	33.2
Al Masane Al Kobra Mining Co.	45.4
Al Moammar Information Systems Co.	27.2
Al Rajhi Bank	24.7
Al Rajhi Co. for Cooperative Insurance	35.4
Al Seer Marine Supplies & Equipment Company PJSC	36.9
Al Yah Satellite Communications Co. PJSC	23.5
Al-Jouf Agricultural Development Co.	47.4
Al-Saif Stores for Development & Investment Co.	39.2
Alabama Power Co.	42.0
ALAFCO Aviation Lease & Finance Co.	34.8
AlAmar Foods Co.	34.9
Alamo Group, Inc.	22.4
Alamos Gold, Inc.	35.1
Ålandsbanken Abp	25.1
Alarko Holding AS	31.2
Alarm.com Holdings, Inc.	24.4
Alaska Air Group, Inc.	25.2
Albany International Corp.	27.1
Albaraka Türk Katilim Bankasi AS	27.5
Albemarle Corp.	20.1
Alberta Capital Finance Authority	19.4
Alberta PowerLine LP	45.7
Albertsons Cos., Inc.	32.0
Alchip Technologies Ltd.	32.6
Alcoa Corp.	25.1
Alcon AG	19.6
ALCONIX Corp.	45.2
Aldar Investment Properties LLC	14.1
