name	grade	country	industry	employees	roe	Year	roe_num	global_industry	continent	Ticker	maxAge	totalEsg	environmentScore	socialScore	governanceScore	ratingYear	ratingMonth	highestControversy	relatedControversy	adult	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	esgPerformance_LAG_PERF	esgPerformance_LEAD_PERF	animalTesting_True	gambling_True	gmo_True	nuclear_True
Advanced Medical Solutions Group Plc	18.5	United Kingdom	Healthcare	1,500	4.59%	2024	4.59	Healthcare and well-being	Europe	SWKS	86400.0	24.11	9.94	7.92	6.25	2025.0	1.0	1.0	['Business Ethics Incidents']	False	0	0	0	0	0	0	0	0
AECOM	26.9	United States of America	Construction & Engineering	51,000	23.78%	2024	23.78	Industrial and manufacturing sectors	North America	ACM	86400.0	26.92	12.04	11.35	3.53	2025.0	1.0	2.0	['Employee Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Aegean Airlines SA	27.7	Greece	Transportation	3,300	26.10%	2024	26.1	Transport and logistics	Europe	AAL	86400.0	23.69	9.55	11.32	2.83	2025.0	1.0	2.0	['Customer Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
AEON Financial Service Co., Ltd.	27.9	Japan	Banks	15,968	6.71%	2024	6.71	Financial sectors	Asia	AXP	86400.0	18.28	0.13	9.7	8.45	2025.0	1.0	2.0	['Customer Incidents;Business Ethics Incidents']	False	1	0	1	0	0	0	0	0
AEON Mall Co., Ltd.	19.0	Japan	Real Estate	3,854	3.71%	2024	3.71	Real estate and related services	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
AerCap Holdings NV	17.8	Ireland	Traders & Distributors	678	15.30%	2024	15.3	Transport and logistics	Europe	AER	86400.0	17.84	5.3	7.41	5.13	2025.0	1.0	1.0	['Customer Incidents']	False	1	0	1	0	0	0	0	0
AEVIS VICTORIA SA	37.9	Switzerland	Healthcare	4,033	-5.95%	2024	-5.95	Healthcare and well-being	Europe	TIGO	86400.0	20.98	4.53	13.41	3.04	2025.0	1.0	1.0	['Customer Incidents;Business Ethics Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Affirm Holdings, Inc.	22.9	United States of America	Diversified Financials	2,006	-16.52%	2024	-16.52	Financial sectors	North America	AFRM	86400.0	22.94	0.34	13.52	9.08	2025.0	1.0	1.0	['Governance Incidents']	False	0	0	0	0	0	0	0	0
AGCO Corp.	17.2	United States of America	Machinery	27,900	3.78%	2024	3.78	Industrial and manufacturing sectors	North America	AGCO	86400.0	17.2	3.74	9.47	3.98	2025.0	1.0	1.0	['Customer Incidents;Employee Incidents']	False	1	0	1	0	0	0	0	0
Agilon Health, Inc.	23.5	United States of America	Healthcare	1,117	-43.00%	2024	-43.0	Healthcare and well-being	North America	AGL	86400.0	23.46	0.39	18.62	4.44	2025.0	1.0	0.0	['Operations Incidents;Environmental Supply Chain Incidents;Business Ethics Incidents;Product & Service Incidents;Public Policy Incidents;Governance Incidents;Employee Incidents;Social Supply Chain Incidents;Customer Incidents;Society & Community Incidents']	False	0	0	0	0	0	0	0	0
AIM Vaccine Co., Ltd.	27.5	China	Pharmaceuticals	1,557	-39.44%	2024	-39.44	Healthcare and well-being	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Aiphone Co., Ltd.	18.7	Japan	Technology Hardware	1,999	5.82%	2024	5.82	Technology sectors	Asia	AEP	86400.0	22.09	10.43	7.76	3.9	2025.0	1.0	2.0	['Customer Incidents;Public Policy Incidents']	False	0	0	0	0	0	0	0	1
Air Lease Corp.	13.4	United States of America	Traders & Distributors	163	7.32%	2024	7.32	Transport and logistics	North America	AL	86400.0	13.43	2.85	5.82	4.76	2025.0	1.0	0.0	['Public Policy Incidents;Society & Community Incidents;Environmental Supply Chain Incidents;Customer Incidents;Business Ethics Incidents;Operations Incidents;Employee Incidents;Governance Incidents;Product & Service Incidents;Social Supply Chain Incidents']	False	1	0	1	0	0	0	0	0
Airbnb, Inc.	23.4	United States of America	Software & Services	6,907	20.87%	2024	20.87	Technology sectors	North America	ABNB	86400.0	23.39	1.3	13.81	8.28	2025.0	1.0	2.0	['Business Ethics Incidents;Customer Incidents']	False	0	0	0	0	0	0	0	0
Aker BP ASA	35.3	Norway	Oil & Gas Producers	2,727	11.44%	2024	11.44	Energy and natural resources	Europe	BPAQF	86400.0	33.2	16.04	9.77	7.39	2025.0	1.0	3.0	['Operations Incidents']	False	0	1	0	1	0	0	0	0
Alaska Air Group, Inc.	25.2	United States of America	Transportation	23,784	7.51%	2024	7.51	Transport and logistics	North America	ALK	86400.0	25.15	9.63	11.03	4.49	2025.0	1.0	2.0	['Customer Incidents;Employee Incidents']	False	0	0	0	0	0	0	0	0
Alerion Cleanpower SpA	27.5	Italy	Utilities	195	11.67%	2024	11.67	Utilities	Europe	EIPAF	86400.0	25.91	14.87	6.31	4.73	2025.0	1.0	2.0	['Operations Incidents;Customer Incidents;Employee Incidents;Business Ethics Incidents;Society & Community Incidents;Product & Service Incidents']	False	0	0	0	0	0	0	0	0
Alexandria Real Estate Equities, Inc.	13.1	United States of America	Real Estate	568	2.13%	2024	2.13	Real estate and related services	North America	ARE	86400.0	13.14	2.85	3.69	6.59	2025.0	1.0	0.0	['Public Policy Incidents;Environmental Supply Chain Incidents;Governance Incidents;Product & Service Incidents;Society & Community Incidents;Employee Incidents;Customer Incidents;Business Ethics Incidents;Social Supply Chain Incidents;Operations Incidents']	False	1	0	1	0	0	0	0	0
