maxAge,totalEsg,environmentScore,socialScore,governanceScore,ratingYear,ratingMonth,highestControversy,peerCount,esgPerformance,peerGroup,relatedControversy,peerEsgScorePerformance,peerGovernancePerformance,peerSocialPerformance,peerEnvironmentPerformance,peerHighestControversyPerformance,percentile,environmentPercentile,socialPercentile,governancePercentile,adult,alcoholic,animalTesting,catholic,controversialWeapons,smallArms,furLeather,gambling,gmo,militaryContract,nuclear,pesticides,palmOil,coal,tobacco,company_ticker
86400,19.32,4.13,10.13,5.07,2025,1,3.0,100,LAG_PERF,Telecommunication Services,['Operations Incidents'],"{'min': 10.5, 'avg': 24.688999999999997, 'max': 38.1}","{'min': 2.33, 'avg': 5.321355932203388, 'max': 9.09}","{'min': 4.71, 'avg': 11.034576271186442, 'max': 15.83}","{'min': 1.66, 'avg': 5.045593220338982, 'max': 10.17}","{'min': 0.0, 'avg': 1.01, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,VZ
86400,38.36,19.91,10.61,7.84,2025,1,3.0,167,LEAD_PERF,Oil & Gas Producers,['Society & Community Incidents;Operations Incidents'],"{'min': 7.23, 'avg': 42.09688622754493, 'max': 66.22}","{'min': 3.03, 'avg': 6.462470588235293, 'max': 12.35}","{'min': 1.61, 'avg': 9.442705882352946, 'max': 16.38}","{'min': 0.17, 'avg': 21.311647058823525, 'max': 34.82}","{'min': 0.0, 'avg': 1.1736526946107784, 'max': 5.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,CVX
86400,24.16,9.24,10.56,4.35,2025,1,3.0,224,AVG_PERF,Food Products,['Operations Incidents;Social Supply Chain Incidents;Business Ethics Incidents;Employee Incidents'],"{'min': 13.64, 'avg': 30.68071428571428, 'max': 49.94}","{'min': 1.67, 'avg': 5.082695652173912, 'max': 10.52}","{'min': 4.84, 'avg': 11.020347826086955, 'max': 21.39}","{'min': 4.99, 'avg': 12.050086956521739, 'max': 26.86}","{'min': 0.0, 'avg': 1.3080357142857142, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,KO
86400,15.14,0.09,9.09,5.96,2025,1,2.0,140,LAG_PERF,Media,['Employee Incidents;Society & Community Incidents;Business Ethics Incidents;Social Supply Chain Incidents;Governance Incidents;Customer Incidents'],"{'min': 6.7, 'avg': 15.681500000000009, 'max': 24.88}","{'min': 1.59, 'avg': 6.173999999999999, 'max': 10.86}","{'min': 3.72, 'avg': 7.3485000000000005, 'max': 10.44}","{'min': 0.0, 'avg': 0.514, 'max': 3.96}","{'min': 0.0, 'avg': 1.0142857142857142, 'max': 3.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,DIS
86400,25.93,8.33,12.97,4.64,2025,1,3.0,212,AVG_PERF,Consumer Services,['Employee Incidents;Business Ethics Incidents;Customer Incidents'],"{'min': 11.31, 'avg': 24.84778301886792, 'max': 38.86}","{'min': 1.65, 'avg': 5.584698795180722, 'max': 14.78}","{'min': 5.28, 'avg': 10.521807228915662, 'max': 16.0}","{'min': 0.26, 'avg': 6.29132530120482, 'max': 13.88}","{'min': 0.0, 'avg': 1.070754716981132, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,MCD
86400,13.27,1.58,6.68,5.01,2025,1,2.0,604,LAG_PERF,Software & Services,['Customer Incidents;Employee Incidents'],"{'min': 7.44, 'avg': 20.74918874172186, 'max': 32.73}","{'min': 1.34, 'avg': 5.767258687258689, 'max': 10.54}","{'min': 4.49, 'avg': 9.80806949806949, 'max': 21.64}","{'min': 0.05, 'avg': 3.0050579150579146, 'max': 6.87}","{'min': 0.0, 'avg': 0.6539735099337748, 'max': 4.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,IBM
86400,19.96,2.89,11.4,5.67,2025,1,2.0,504,LAG_PERF,Pharmaceuticals,['Customer Incidents;Society & Community Incidents'],"{'min': 8.52, 'avg': 28.07982142857142, 'max': 41.58}","{'min': 2.45, 'avg': 6.2997202797202805, 'max': 10.91}","{'min': 3.32, 'avg': 13.62909090909091, 'max': 27.87}","{'min': 0.17, 'avg': 2.307482517482517, 'max': 6.95}","{'min': 0.0, 'avg': 0.49404761904761907, 'max': 5.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,MRK
86400,36.55,7.9,22.18,6.47,2025,1,4.0,61,LEAD_PERF,Aerospace & Defense,['Customer Incidents'],"{'min': 20.98, 'avg': 32.90704918032787, 'max': 47.05}","{'min': 1.76, 'avg': 5.791, 'max': 10.59}","{'min': 8.78, 'avg': 15.104999999999999, 'max': 23.96}","{'min': 2.38, 'avg': 9.24225, 'max': 13.96}","{'min': 0.0, 'avg': 1.3278688524590163, 'max': 4.0}",,,,,False,False,False,,True,False,False,False,False,True,False,False,False,False,False,BA
86400,42.86,19.53,16.82,6.51,2025,1,5.0,63,LEAD_PERF,Industrial Conglomerates,['Operations Incidents'],"{'min': 24.38, 'avg': 37.69603174603174, 'max': 56.3}","{'min': 2.93, 'avg': 7.295, 'max': 13.78}","{'min': 6.83, 'avg': 13.502380952380953, 'max': 20.95}","{'min': 8.97, 'avg': 15.302619047619043, 'max': 20.91}","{'min': 0.0, 'avg': 1.0476190476190477, 'max': 5.0}",,,,,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,MMM
86400,20.1,0.94,13.03,6.13,2025,1,4.0,504,AVG_PERF,Pharmaceuticals,['Customer Incidents'],"{'min': 8.52, 'avg': 28.07982142857142, 'max': 41.58}","{'min': 2.45, 'avg': 6.2997202797202805, 'max': 10.91}","{'min': 3.32, 'avg': 13.62909090909091, 'max': 27.87}","{'min': 0.17, 'avg': 2.307482517482517, 'max': 6.95}","{'min': 0.0, 'avg': 0.49404761904761907, 'max': 5.0}",,,,,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,JNJ
